
> frondtendkit@0.1.0 dev
> next dev

▲ Next.js 16.3.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.5:3000
- Environments: .env.local
✓ Ready in 5.1s
✓ Running next.config.mjs took 58ms

 GET / 200 in 1452ms (next.js: 938ms, application-code: 514ms)
 GET / 200 in 188ms (next.js: 17ms, application-code: 172ms)
 GET /register 200 in 232ms (next.js: 77ms, application-code: 155ms)
 GET / 200 in 162ms (next.js: 17ms, application-code: 145ms)
 GET / 200 in 147ms (next.js: 13ms, application-code: 135ms)
 GET / 200 in 146ms (next.js: 12ms, application-code: 134ms)
 GET / 200 in 180ms (next.js: 9ms, application-code: 170ms)
 GET / 200 in 164ms (next.js: 12ms, application-code: 152ms)
 GET /register 200 in 75ms (next.js: 37ms, application-code: 39ms)
 GET /register 200 in 105ms (next.js: 11ms, application-code: 95ms)
 GET /register 200 in 42ms (next.js: 6ms, application-code: 36ms)
 GET /register 200 in 37ms (next.js: 7ms, application-code: 30ms)
 GET /register 200 in 35ms (next.js: 4ms, application-code: 31ms)
✓ Compiled in 3.2s
 GET /register 200 in 57ms (next.js: 16ms, application-code: 40ms)
✓ Compiled in 475ms
 GET /register 200 in 65ms (next.js: 25ms, application-code: 40ms)
✓ Compiled in 394ms
 GET /register 500 in 2.5s (next.js: 1870ms, application-code: 633ms)
 GET /register 500 in 3.3s (next.js: 3.2s, application-code: 44ms)
 GET /register 500 in 133ms (next.js: 110ms, application-code: 24ms)
 GET /register 500 in 93ms (next.js: 74ms, application-code: 19ms)
 GET /register 500 in 75ms (next.js: 55ms, application-code: 20ms)
 GET /register 200 in 135ms (next.js: 17ms, application-code: 118ms)
 GET /register?plan=basico 200 in 76ms (next.js: 11ms, application-code: 66ms)
 GET / 200 in 148ms (next.js: 15ms, application-code: 132ms)
 GET /register 200 in 80ms (next.js: 8ms, application-code: 72ms)
 GET / 200 in 146ms (next.js: 11ms, application-code: 135ms)
 GET /register?plan=basico 200 in 77ms (next.js: 9ms, application-code: 68ms)
 GET / 200 in 130ms (next.js: 9ms, application-code: 121ms)
 GET /register 200 in 84ms (next.js: 12ms, application-code: 72ms)
 GET /dashboard 200 in 457ms (next.js: 72ms, proxy.ts: 235ms, application-code: 150ms)
 GET /dashboard 200 in 108ms (next.js: 16ms, proxy.ts: 11ms, application-code: 81ms)
 GET /dashboard 200 in 97ms (next.js: 14ms, proxy.ts: 7ms, application-code: 75ms)
 GET /dashboard 200 in 205ms (next.js: 36ms, proxy.ts: 29ms, application-code: 140ms)
 GET /dashboard/inventario-general 200 in 335ms (next.js: 232ms, proxy.ts: 29ms, application-code: 74ms)
 GET /dashboard/registrar-visita 200 in 1477ms (next.js: 1418ms, proxy.ts: 15ms, application-code: 43ms)
 GET /dashboard/configuracion 200 in 207ms (next.js: 81ms, proxy.ts: 11ms, application-code: 115ms)
 GET /dashboard/configuracion 200 in 92ms (next.js: 25ms, proxy.ts: 10ms, application-code: 57ms)
 GET /dashboard/configuracion 200 in 67ms (next.js: 22ms, proxy.ts: 10ms, application-code: 35ms)
 GET /dashboard/configuracion 200 in 54ms (next.js: 16ms, proxy.ts: 6ms, application-code: 32ms)
 GET /dashboard/configuracion 200 in 75ms (next.js: 24ms, proxy.ts: 10ms, application-code: 41ms)
 GET /dashboard/configuracion 200 in 58ms (next.js: 14ms, proxy.ts: 6ms, application-code: 37ms)
 GET /dashboard/configuracion 200 in 76ms (next.js: 19ms, proxy.ts: 9ms, application-code: 48ms)
 GET /dashboard/configuracion 200 in 75ms (next.js: 19ms, proxy.ts: 10ms, application-code: 47ms)
 GET /dashboard/configuracion 200 in 66ms (next.js: 21ms, proxy.ts: 10ms, application-code: 36ms)
 GET /dashboard/configuracion 200 in 141ms (next.js: 13ms, proxy.ts: 8ms, application-code: 121ms)
 GET /dashboard/configuracion 200 in 297ms (next.js: 111ms, proxy.ts: 24ms, application-code: 162ms)
 GET /dashboard/config-cobros 200 in 276ms (next.js: 176ms, proxy.ts: 10ms, application-code: 89ms)
 GET /dashboard/configuracion 200 in 283ms (next.js: 72ms, proxy.ts: 79ms, application-code: 132ms)
 GET /dashboard/config-cobros 200 in 66ms (next.js: 24ms, proxy.ts: 7ms, application-code: 35ms)
